---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 23040, dst 34893, status Complete, result count 15499, preprocessing time 0.007013 seconds, query time 0.007687 seconds,
ID 117, src 19042, dst 7442, status Complete, result count 32060572, preprocessing time 0.011788 seconds, query time 0.735083 seconds,
ID 118, src 18689, dst 40898, status Complete, result count 247429, preprocessing time 0.010244 seconds, query time 0.021010 seconds,
ID 119, src 60580, dst 221, status Complete, result count 293105, preprocessing time 0.006711 seconds, query time 0.012368 seconds,
ID 120, src 73061, dst 1162, status Complete, result count 76148681, preprocessing time 0.014251 seconds, query time 1.911527 seconds,
ID 121, src 18921, dst 39711, status Complete, result count 402600, preprocessing time 0.011934 seconds, query time 0.029101 seconds,
ID 122, src 26299, dst 12668, status Complete, result count 63912493, preprocessing time 0.013067 seconds, query time 1.704466 seconds,
ID 123, src 75590, dst 74155, status Complete, result count 1, preprocessing time 0.000010 seconds, query time 0.000015 seconds,
ID 124, src 22507, dst 55224, status Complete, result count 13146, preprocessing time 0.006300 seconds, query time 0.006935 seconds,
ID 125, src 39294, dst 42972, status Complete, result count 359628, preprocessing time 0.007838 seconds, query time 0.020886 seconds,
ID 126, src 53782, dst 68789, status Complete, result count 1, preprocessing time 0.000010 seconds, query time 0.000013 seconds,
ID 127, src 58574, dst 65119, status Complete, result count 5969, preprocessing time 0.004142 seconds, query time 0.004423 seconds,
ID 128, src 49353, dst 7974, status Complete, result count 9861, preprocessing time 0.004793 seconds, query time 0.005256 seconds,
ID 129, src 52301, dst 38761, status Complete, result count 5511, preprocessing time 0.004034 seconds, query time 0.004358 seconds,
ID 130, src 8299, dst 8104, status Complete, result count 18990949, preprocessing time 0.010860 seconds, query time 0.418133 seconds,
ID 131, src 27996, dst 8225, status Complete, result count 3449451, preprocessing time 0.010071 seconds, query time 0.116107 seconds,
ID 132, src 15635, dst 51117, status Complete, result count 104310, preprocessing time 0.007871 seconds, query time 0.012523 seconds,
ID 133, src 52801, dst 33084, status Complete, result count 790, preprocessing time 0.001906 seconds, query time 0.001957 seconds,
ID 134, src 57195, dst 25994, status Complete, result count 16097, preprocessing time 0.004696 seconds, query time 0.005305 seconds,
ID 135, src 5787, dst 34303, status Complete, result count 82543170, preprocessing time 0.014314 seconds, query time 2.088976 seconds,
ID 136, src 50034, dst 22894, status Complete, result count 45612, preprocessing time 0.007550 seconds, query time 0.009281 seconds,
ID 137, src 67822, dst 47313, status Complete, result count 9, preprocessing time 0.000179 seconds, query time 0.000184 seconds,
ID 138, src 54885, dst 20832, status Complete, result count 106685, preprocessing time 0.008421 seconds, query time 0.011980 seconds,
ID 139, src 29421, dst 40051, status Complete, result count 470644, preprocessing time 0.007935 seconds, query time 0.026988 seconds,
ID 140, src 26361, dst 6714, status Complete, result count 2349904, preprocessing time 0.010118 seconds, query time 0.067094 seconds,
ID 141, src 64520, dst 10500, status Complete, result count 6749, preprocessing time 0.002660 seconds, query time 0.002855 seconds,
ID 142, src 15666, dst 19942, status Complete, result count 151497, preprocessing time 0.009406 seconds, query time 0.016769 seconds,
ID 143, src 25613, dst 63980, status Complete, result count 33162, preprocessing time 0.006066 seconds, query time 0.007876 seconds,
ID 144, src 54732, dst 12956, status Complete, result count 189286, preprocessing time 0.009122 seconds, query time 0.014508 seconds,
ID 145, src 6083, dst 30334, status Complete, result count 24259536, preprocessing time 0.010265 seconds, query time 0.652648 seconds,
ID 146, src 61386, dst 27984, status Complete, result count 8643, preprocessing time 0.004513 seconds, query time 0.004770 seconds,
ID 147, src 36527, dst 29359, status Complete, result count 6225327, preprocessing time 0.010695 seconds, query time 0.197797 seconds,
ID 148, src 75695, dst 74894, status Complete, result count 1, preprocessing time 0.000008 seconds, query time 0.000012 seconds,
ID 149, src 41800, dst 12664, status Complete, result count 6640888, preprocessing time 0.010386 seconds, query time 0.182444 seconds,
ID 150, src 25281, dst 55772, status Complete, result count 234691, preprocessing time 0.008489 seconds, query time 0.018315 seconds,
ID 151, src 19601, dst 50721, status Complete, result count 7263, preprocessing time 0.004666 seconds, query time 0.005141 seconds,
ID 152, src 14789, dst 31830, status Complete, result count 216767, preprocessing time 0.009131 seconds, query time 0.017932 seconds,
ID 153, src 55558, dst 35857, status Complete, result count 44962, preprocessing time 0.007020 seconds, query time 0.008691 seconds,
ID 154, src 70662, dst 26650, status Complete, result count 1061, preprocessing time 0.001351 seconds, query time 0.001387 seconds,
ID 155, src 27635, dst 66919, status Complete, result count 3644, preprocessing time 0.003603 seconds, query time 0.003830 seconds,
ID 156, src 23749, dst 59880, status Complete, result count 1, preprocessing time 0.000005 seconds, query time 0.000007 seconds,
ID 157, src 62557, dst 8600, status Complete, result count 31150, preprocessing time 0.005833 seconds, query time 0.006801 seconds,
ID 158, src 9885, dst 12914, status Complete, result count 992459, preprocessing time 0.008958 seconds, query time 0.032230 seconds,
ID 159, src 23397, dst 37308, status Complete, result count 17815136, preprocessing time 0.011642 seconds, query time 0.479795 seconds,
ID 160, src 58778, dst 15861, status Complete, result count 65260, preprocessing time 0.005913 seconds, query time 0.007469 seconds,
ID 161, src 19533, dst 34274, status Complete, result count 710486, preprocessing time 0.010454 seconds, query time 0.031974 seconds,
ID 162, src 46301, dst 48711, status Complete, result count 6569, preprocessing time 0.004151 seconds, query time 0.004435 seconds,
ID 163, src 46435, dst 27585, status Complete, result count 50554, preprocessing time 0.006177 seconds, query time 0.008046 seconds,
ID 164, src 8211, dst 37977, status Complete, result count 457519, preprocessing time 0.009241 seconds, query time 0.026618 seconds,
ID 165, src 65307, dst 36949, status Complete, result count 97, preprocessing time 0.000786 seconds, query time 0.000801 seconds,
ID 166, src 34735, dst 52382, status Complete, result count 56981, preprocessing time 0.005987 seconds, query time 0.008065 seconds,
