---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024793 seconds, query time 60.622541 seconds,
ID 93, src 10858, dst 20530, status Complete, result count 74743709, preprocessing time 0.016505 seconds, query time 1.821342 seconds,
ID 94, src 23814, dst 763, status Complete, result count 10282406, preprocessing time 0.013016 seconds, query time 0.180401 seconds,
ID 95, src 14790, dst 2909, status Complete, result count 937093579, preprocessing time 0.016928 seconds, query time 16.128359 seconds,
ID 96, src 6871, dst 4910, status Complete, result count 421577313, preprocessing time 0.014403 seconds, query time 9.071702 seconds,
ID 97, src 4544, dst 3888, status Complete, result count 920950643, preprocessing time 0.018596 seconds, query time 22.399678 seconds,
ID 98, src 14948, dst 1582, status Complete, result count 1323156989, preprocessing time 0.020763 seconds, query time 26.416930 seconds,
ID 99, src 4688, dst 8441, status Complete, result count 340451010, preprocessing time 0.017809 seconds, query time 9.506911 seconds,
ID 100, src 7314, dst 2075, status Complete, result count 2222715141, preprocessing time 0.019697 seconds, query time 25.358894 seconds,
ID 101, src 13046, dst 226, status Complete, result count 77630124, preprocessing time 0.016463 seconds, query time 1.830173 seconds,
ID 102, src 14812, dst 4908, status Complete, result count 107698407, preprocessing time 0.015647 seconds, query time 2.251261 seconds,
ID 103, src 4085, dst 208, status Complete, result count 2226691146, preprocessing time 0.018905 seconds, query time 34.612207 seconds,
ID 104, src 6299, dst 15814, status Complete, result count 254669785, preprocessing time 0.017657 seconds, query time 5.817325 seconds,
ID 105, src 4360, dst 25825, status Complete, result count 15962603, preprocessing time 0.015728 seconds, query time 0.569096 seconds,
ID 106, src 8684, dst 15213, status Complete, result count 87049053, preprocessing time 0.014484 seconds, query time 2.365693 seconds,
ID 107, src 379, dst 4523, status Complete, result count 9951450970, preprocessing time 0.020221 seconds, query time 202.118705 seconds,
ID 108, src 3544, dst 9087, status Complete, result count 1844403138, preprocessing time 0.020755 seconds, query time 37.503728 seconds,
ID 109, src 6779, dst 408, status Complete, result count 27414305165, preprocessing time 0.021148 seconds, query time 157.126997 seconds,
ID 110, src 349, dst 6817, status Complete, result count 2167462406, preprocessing time 0.020443 seconds, query time 52.236225 seconds,
ID 111, src 5094, dst 1319, status Complete, result count 6990008903, preprocessing time 0.019339 seconds, query time 88.477332 seconds,
ID 112, src 1751, dst 2984, status Complete, result count 18600466851, preprocessing time 0.020769 seconds, query time 276.713672 seconds,
ID 113, src 5272, dst 13227, status Complete, result count 547591291, preprocessing time 0.018187 seconds, query time 13.042453 seconds,
ID 114, src 23987, dst 14543, status Complete, result count 8401609, preprocessing time 0.014150 seconds, query time 0.206825 seconds,
ID 115, src 161, dst 4783, status Complete, result count 7129284737, preprocessing time 0.018010 seconds, query time 143.941860 seconds,
ID 116, src 14629, dst 5182, status Complete, result count 301649477, preprocessing time 0.015926 seconds, query time 6.768828 seconds,
ID 117, src 3602, dst 14869, status Complete, result count 49182922, preprocessing time 0.014980 seconds, query time 1.185146 seconds,
ID 118, src 10386, dst 4618, status Complete, result count 566378025, preprocessing time 0.018171 seconds, query time 13.008719 seconds,
ID 119, src 7208, dst 7293, status Complete, result count 334732401, preprocessing time 0.016208 seconds, query time 8.214073 seconds,
ID 120, src 255, dst 5308, status Complete, result count 3124891672, preprocessing time 0.019598 seconds, query time 58.786574 seconds,
ID 121, src 1129, dst 68, status Complete, result count 96497570248, preprocessing time 0.023214 seconds, query time 496.499398 seconds,
ID 122, src 29187, dst 2517, status Complete, result count 412514366, preprocessing time 0.019754 seconds, query time 7.450696 seconds,
ID 123, src 6878, dst 1946, status Complete, result count 2282799364, preprocessing time 0.019309 seconds, query time 46.361176 seconds,
ID 124, src 744, dst 7609, status Complete, result count 1267604537, preprocessing time 0.020041 seconds, query time 22.594642 seconds,
ID 125, src 19138, dst 47053, status Complete, result count 342409, preprocessing time 0.010602 seconds, query time 0.019081 seconds,
ID 126, src 325, dst 2970, status Complete, result count 3094015477, preprocessing time 0.019186 seconds, query time 69.564416 seconds,
ID 127, src 11052, dst 18909, status Complete, result count 168483175, preprocessing time 0.016485 seconds, query time 4.297982 seconds,
ID 128, src 18794, dst 3876, status Complete, result count 67572001, preprocessing time 0.016243 seconds, query time 1.411519 seconds,
ID 129, src 10184, dst 5803, status Complete, result count 564248011, preprocessing time 0.019008 seconds, query time 13.247671 seconds,
ID 130, src 12590, dst 20357, status Complete, result count 6489786, preprocessing time 0.015210 seconds, query time 0.229621 seconds,
ID 131, src 2055, dst 22355, status Complete, result count 619105216, preprocessing time 0.016435 seconds, query time 15.926981 seconds,
ID 132, src 11780, dst 23845, status Complete, result count 4444248, preprocessing time 0.011749 seconds, query time 0.121968 seconds,
ID 133, src 22951, dst 29626, status Complete, result count 94587000, preprocessing time 0.013826 seconds, query time 2.418707 seconds,
ID 134, src 22696, dst 4424, status Complete, result count 192222913, preprocessing time 0.018551 seconds, query time 4.714014 seconds,
ID 135, src 1435, dst 9810, status Complete, result count 1813607547, preprocessing time 0.018349 seconds, query time 41.112386 seconds,
ID 136, src 3784, dst 21067, status Complete, result count 9450285, preprocessing time 0.013862 seconds, query time 0.327145 seconds,
ID 137, src 6245, dst 3932, status Complete, result count 9399900194, preprocessing time 0.020564 seconds, query time 121.081131 seconds,
ID 138, src 1433, dst 8276, status Complete, result count 108380663, preprocessing time 0.018310 seconds, query time 3.212482 seconds,
ID 139, src 2943, dst 7722, status Complete, result count 1592616739, preprocessing time 0.019837 seconds, query time 38.795244 seconds,
ID 140, src 3277, dst 9775, status Complete, result count 14724866126, preprocessing time 0.019363 seconds, query time 229.735906 seconds,
ID 141, src 3857, dst 4532, status Complete, result count 294137169, preprocessing time 0.015790 seconds, query time 6.603539 seconds,
ID 142, src 23451, dst 4407, status Complete, result count 69699368, preprocessing time 0.015449 seconds, query time 1.637519 seconds,
ID 143, src 2992, dst 14729, status Complete, result count 187814051, preprocessing time 0.015801 seconds, query time 4.141485 seconds,
ID 144, src 13822, dst 8182, status Complete, result count 858873510, preprocessing time 0.018938 seconds, query time 17.328887 seconds,
ID 145, src 12307, dst 10376, status Complete, result count 72286755, preprocessing time 0.015263 seconds, query time 1.937220 seconds,
ID 146, src 6027, dst 1233, status Complete, result count 859031497, preprocessing time 0.018452 seconds, query time 15.204835 seconds,
ID 147, src 3531, dst 32065, status Complete, result count 33676530, preprocessing time 0.016928 seconds, query time 1.232947 seconds,
ID 148, src 13216, dst 4963, status Complete, result count 2359406266, preprocessing time 0.019504 seconds, query time 46.110916 seconds,
ID 149, src 1947, dst 1239, status Complete, result count 989873367, preprocessing time 0.018765 seconds, query time 21.156970 seconds,
ID 150, src 6103, dst 5459, status Complete, result count 645140469, preprocessing time 0.016220 seconds, query time 13.984922 seconds,
ID 151, src 3134, dst 10489, status Complete, result count 1695343930, preprocessing time 0.018799 seconds, query time 40.834591 seconds,
